============================================================
Mini I-JEPA Training
============================================================
Device      : cuda
Epochs      : 100
Batch size  : 32
Embed dim   : 192
Num patches : 196
============================================================
Total params     : 11,517,888
Trainable params : 6,000,768
Frozen params    : 5,517,120  (target encoder)
============================================================
Building dataloader...
Dataset size : 100,000 images
Batches/epoch: 3,125
============================================================
Starting training for 100 epochs on cuda
Trainable params: 6,000,768
      epoch 004 batch 2300/3125 loss=0.2966 lr=0.000040
      epoch 004 batch 2350/3125 loss=0.2844 lr=0.000040
      epoch 004 batch 2400/3125 loss=0.2973 lr=0.000040
      epoch 004 batch 2450/3125 loss=0.2958 lr=0.000040
      epoch 004 batch 2500/3125 loss=0.3162 lr=0.000040
      epoch 004 batch 2550/3125 loss=0.3409 lr=0.000040
      epoch 004 batch 2600/3125 loss=0.3253 lr=0.000040
      epoch 004 batch 2650/3125 loss=0.3372 lr=0.000040
      epoch 004 batch 2700/3125 loss=0.3048 lr=0.000040
      epoch 004 batch 2750/3125 loss=0.2895 lr=0.000040
      epoch 004 batch 2800/3125 loss=0.3622 lr=0.000040
      epoch 004 batch 2850/3125 loss=0.3342 lr=0.000040
      epoch 004 batch 2900/3125 loss=0.2999 lr=0.000040
      epoch 004 batch 2950/3125 loss=0.3050 lr=0.000040
      epoch 004 batch 3000/3125 loss=0.3208 lr=0.000040
      epoch 004 batch 3050/3125 loss=0.3270 lr=0.000040
      epoch 004 batch 3100/3125 loss=0.2989 lr=0.000040
  -> Epoch 004 | loss=0.2966
      epoch 005 batch 0000/3125 loss=0.3199 lr=0.000050
      epoch 005 batch 0050/3125 loss=0.2962 lr=0.000050
      epoch 005 batch 0100/3125 loss=0.3217 lr=0.000050
      epoch 005 batch 0150/3125 loss=0.3033 lr=0.000050
      epoch 005 batch 0200/3125 loss=0.3108 lr=0.000050
      epoch 005 batch 0250/3125 loss=0.3099 lr=0.000050
      epoch 005 batch 0300/3125 loss=0.3419 lr=0.000050
      epoch 005 batch 0350/3125 loss=0.2836 lr=0.000050
      epoch 005 batch 0400/3125 loss=0.3431 lr=0.000050
      epoch 005 batch 0450/3125 loss=0.2743 lr=0.000050
      epoch 005 batch 0500/3125 loss=0.2844 lr=0.000050
      epoch 005 batch 0550/3125 loss=0.2813 lr=0.000050
      epoch 005 batch 0600/3125 loss=0.3200 lr=0.000050
      epoch 005 batch 0650/3125 loss=0.3103 lr=0.000050
      epoch 005 batch 0700/3125 loss=0.3571 lr=0.000050
      epoch 005 batch 0750/3125 loss=0.3321 lr=0.000050
      epoch 005 batch 0800/3125 loss=0.3074 lr=0.000050
      epoch 005 batch 0850/3125 loss=0.3388 lr=0.000050
      epoch 005 batch 0900/3125 loss=0.3238 lr=0.000050
      epoch 005 batch 0950/3125 loss=0.3013 lr=0.000050
      epoch 005 batch 1000/3125 loss=0.3107 lr=0.000050
      epoch 005 batch 1050/3125 loss=0.2958 lr=0.000050
      epoch 005 batch 1100/3125 loss=0.3112 lr=0.000050
      epoch 005 batch 1150/3125 loss=0.3231 lr=0.000050
      epoch 005 batch 1200/3125 loss=0.3104 lr=0.000050
      epoch 005 batch 1250/3125 loss=0.3458 lr=0.000050
      epoch 005 batch 1300/3125 loss=0.3390 lr=0.000050
      epoch 005 batch 1350/3125 loss=0.3540 lr=0.000050
      epoch 005 batch 1400/3125 loss=0.3067 lr=0.000050
      epoch 005 batch 1450/3125 loss=0.3012 lr=0.000050
      epoch 005 batch 1500/3125 loss=0.3330 lr=0.000050
      epoch 005 batch 1550/3125 loss=0.3097 lr=0.000050
      epoch 005 batch 1600/3125 loss=0.3348 lr=0.000050
      epoch 005 batch 1650/3125 loss=0.3454 lr=0.000050
      epoch 005 batch 1700/3125 loss=0.3081 lr=0.000050
      epoch 005 batch 1750/3125 loss=0.3074 lr=0.000050
      epoch 005 batch 1800/3125 loss=0.3002 lr=0.000050
      epoch 005 batch 1850/3125 loss=0.3272 lr=0.000050
      epoch 005 batch 1900/3125 loss=0.3171 lr=0.000050
      epoch 005 batch 1950/3125 loss=0.3548 lr=0.000050
      epoch 005 batch 2000/3125 loss=0.3045 lr=0.000050
      epoch 005 batch 2050/3125 loss=0.3267 lr=0.000050
      epoch 005 batch 2100/3125 loss=0.3379 lr=0.000050
      epoch 005 batch 2150/3125 loss=0.3156 lr=0.000050
      epoch 005 batch 2200/3125 loss=0.3065 lr=0.000050
      epoch 005 batch 2250/3125 loss=0.3422 lr=0.000050
      epoch 005 batch 2300/3125 loss=0.3199 lr=0.000050
      epoch 005 batch 2350/3125 loss=0.3238 lr=0.000050
      epoch 005 batch 2400/3125 loss=0.3976 lr=0.000050
      epoch 005 batch 2450/3125 loss=0.3176 lr=0.000050
      epoch 005 batch 2500/3125 loss=0.3086 lr=0.000050
      epoch 005 batch 2550/3125 loss=0.3207 lr=0.000050
      epoch 005 batch 2600/3125 loss=0.3212 lr=0.000050
      epoch 005 batch 2650/3125 loss=0.3969 lr=0.000050
      epoch 005 batch 2700/3125 loss=0.3398 lr=0.000050
      epoch 005 batch 2750/3125 loss=0.3159 lr=0.000050
      epoch 005 batch 2800/3125 loss=0.3356 lr=0.000050
      epoch 005 batch 2850/3125 loss=0.3395 lr=0.000050
      epoch 005 batch 2900/3125 loss=0.3418 lr=0.000050
      epoch 005 batch 2950/3125 loss=0.3398 lr=0.000050
      epoch 005 batch 3000/3125 loss=0.3593 lr=0.000050
      epoch 005 batch 3050/3125 loss=0.3640 lr=0.000050
      epoch 005 batch 3100/3125 loss=0.3670 lr=0.000050
  -> Epoch 005 | loss=0.3275
      epoch 006 batch 0000/3125 loss=0.2977 lr=0.000060
      epoch 006 batch 0050/3125 loss=0.3315 lr=0.000060
      epoch 006 batch 0100/3125 loss=0.4058 lr=0.000060
      epoch 006 batch 0150/3125 loss=0.3393 lr=0.000060
      epoch 006 batch 0200/3125 loss=0.3470 lr=0.000060
      epoch 006 batch 0250/3125 loss=0.3322 lr=0.000060
      epoch 006 batch 0300/3125 loss=0.3750 lr=0.000060
      epoch 006 batch 0350/3125 loss=0.3188 lr=0.000060
      epoch 006 batch 0400/3125 loss=0.3083 lr=0.000060
      epoch 006 batch 0450/3125 loss=0.3922 lr=0.000060
      epoch 006 batch 0500/3125 loss=0.3178 lr=0.000060
      epoch 006 batch 0550/3125 loss=0.3294 lr=0.000060
      epoch 006 batch 0600/3125 loss=0.3628 lr=0.000060
      epoch 006 batch 0650/3125 loss=0.3913 lr=0.000060
      epoch 006 batch 0700/3125 loss=0.3695 lr=0.000060
      epoch 006 batch 0750/3125 loss=0.3471 lr=0.000060
      epoch 006 batch 0800/3125 loss=0.3603 lr=0.000060
      epoch 006 batch 0850/3125 loss=0.4195 lr=0.000060
      epoch 006 batch 0900/3125 loss=0.3074 lr=0.000060
      epoch 006 batch 0950/3125 loss=0.3010 lr=0.000060
      epoch 006 batch 1000/3125 loss=0.4293 lr=0.000060
      epoch 006 batch 1050/3125 loss=0.3429 lr=0.000060
      epoch 006 batch 1100/3125 loss=0.3310 lr=0.000060
      epoch 006 batch 1150/3125 loss=0.3517 lr=0.000060
      epoch 006 batch 1200/3125 loss=0.3715 lr=0.000060
      epoch 006 batch 1250/3125 loss=0.3641 lr=0.000060
      epoch 006 batch 1300/3125 loss=0.3626 lr=0.000060
      epoch 006 batch 1350/3125 loss=0.3877 lr=0.000060
      epoch 006 batch 1400/3125 loss=0.3388 lr=0.000060
      epoch 006 batch 1450/3125 loss=0.3633 lr=0.000060
      epoch 006 batch 1500/3125 loss=0.3897 lr=0.000060
      epoch 006 batch 1550/3125 loss=0.3711 lr=0.000060
      epoch 006 batch 1600/3125 loss=0.3755 lr=0.000060
      epoch 006 batch 1650/3125 loss=0.3516 lr=0.000060
      epoch 006 batch 1700/3125 loss=0.3369 lr=0.000060
      epoch 006 batch 1750/3125 loss=0.3669 lr=0.000060
      epoch 006 batch 1800/3125 loss=0.3364 lr=0.000060
      epoch 006 batch 1850/3125 loss=0.3640 lr=0.000060
      epoch 006 batch 1900/3125 loss=0.3364 lr=0.000060
      epoch 006 batch 1950/3125 loss=0.3973 lr=0.000060
      epoch 006 batch 2000/3125 loss=0.3554 lr=0.000060
      epoch 006 batch 2050/3125 loss=0.3745 lr=0.000060
      epoch 006 batch 2100/3125 loss=0.3802 lr=0.000060
      epoch 006 batch 2150/3125 loss=0.3580 lr=0.000060
      epoch 006 batch 2200/3125 loss=0.3753 lr=0.000060
      epoch 006 batch 2250/3125 loss=0.3635 lr=0.000060
      epoch 006 batch 2300/3125 loss=0.3545 lr=0.000060
      epoch 006 batch 2350/3125 loss=0.3652 lr=0.000060
      epoch 006 batch 2400/3125 loss=0.3997 lr=0.000060
      epoch 006 batch 2450/3125 loss=0.3979 lr=0.000060
      epoch 006 batch 2500/3125 loss=0.3115 lr=0.000060
      epoch 006 batch 2550/3125 loss=0.3624 lr=0.000060
      epoch 006 batch 2600/3125 loss=0.3386 lr=0.000060
      epoch 006 batch 2650/3125 loss=0.3966 lr=0.000060
      epoch 006 batch 2700/3125 loss=0.3746 lr=0.000060
      epoch 006 batch 2750/3125 loss=0.3570 lr=0.000060
      epoch 006 batch 2800/3125 loss=0.3638 lr=0.000060
      epoch 006 batch 2850/3125 loss=0.3858 lr=0.000060
      epoch 006 batch 2900/3125 loss=0.3702 lr=0.000060
      epoch 006 batch 2950/3125 loss=0.3364 lr=0.000060
      epoch 006 batch 3000/3125 loss=0.3411 lr=0.000060
      epoch 006 batch 3050/3125 loss=0.3546 lr=0.000060
      epoch 006 batch 3100/3125 loss=0.3378 lr=0.000060
  -> Epoch 006 | loss=0.3563
      epoch 007 batch 0000/3125 loss=0.4081 lr=0.000070
      epoch 007 batch 0050/3125 loss=0.3651 lr=0.000070
      epoch 007 batch 0100/3125 loss=0.3334 lr=0.000070
      epoch 007 batch 0150/3125 loss=0.3575 lr=0.000070
      epoch 007 batch 0200/3125 loss=0.3889 lr=0.000070
      epoch 007 batch 0250/3125 loss=0.3641 lr=0.000070
      epoch 007 batch 0300/3125 loss=0.3622 lr=0.000070
      epoch 007 batch 0350/3125 loss=0.3780 lr=0.000070
      epoch 007 batch 0400/3125 loss=0.3676 lr=0.000070
      epoch 007 batch 0450/3125 loss=0.3930 lr=0.000070
      epoch 007 batch 0500/3125 loss=0.3640 lr=0.000070
      epoch 007 batch 0550/3125 loss=0.3757 lr=0.000070
      epoch 007 batch 0600/3125 loss=0.4031 lr=0.000070
      epoch 007 batch 0650/3125 loss=0.3569 lr=0.000070
      epoch 007 batch 0700/3125 loss=0.3696 lr=0.000070
      epoch 007 batch 0750/3125 loss=0.3692 lr=0.000070
      epoch 007 batch 0800/3125 loss=0.3441 lr=0.000070
      epoch 007 batch 0850/3125 loss=0.3577 lr=0.000070
      epoch 007 batch 0900/3125 loss=0.3691 lr=0.000070
      epoch 007 batch 0950/3125 loss=0.3715 lr=0.000070
      epoch 007 batch 1000/3125 loss=0.3617 lr=0.000070
      epoch 007 batch 1050/3125 loss=0.3986 lr=0.000070
      epoch 007 batch 1100/3125 loss=0.3498 lr=0.000070
      epoch 007 batch 1150/3125 loss=0.3880 lr=0.000070
      epoch 007 batch 1200/3125 loss=0.3609 lr=0.000070
      epoch 007 batch 1250/3125 loss=0.4079 lr=0.000070
      epoch 007 batch 1300/3125 loss=0.3880 lr=0.000070
      epoch 007 batch 1350/3125 loss=0.3847 lr=0.000070
      epoch 007 batch 1400/3125 loss=0.3808 lr=0.000070
